Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
10.98,0,0,285.8,99.9999,1,27,27
10.995,0,0,285.8,99.9999,1,27,27
11.01,0,0,285.8,99.9999,1,27,27
11.025,0,0,285.8,99.9999,1,27,27
11.04,0,0,285.8,99.9999,1,27,27
11.055,0,0,285.8,99.9999,1,27,27
11.07,0,0,285.8,99.9999,1,27,27
11.085,0,0,285.8,99.9999,1,27,27
11.1,0,0,285.8,99.9999,1,27,27
11.115,0,0,285.8,99.9999,1,27,27
11.13,0,0,285.8,99.9999,1,27,27
11.145,0,0,285.8,99.9999,1,27,27
11.16,0,0,285.8,99.9999,1,27,27
11.175,0,0,285.8,99.9999,1,27,27
11.19,0,0,285.8,99.9999,1,27,27
11.205,0,0,285.8,99.9999,1,27,27
11.22,0,0,285.8,99.9999,1,27,27
11.235,0,0,285.8,99.9999,1,27,27
11.25,0,0,285.8,99.9999,1,27,27
11.265,0,0,285.8,99.9999,1,27,27
11.28,0,0,285.8,99.9999,1,27,27
11.295,0,0,285.8,99.9999,1,27,27
11.31,0,0,285.8,99.9999,1,27,27
11.325,0,0,285.8,99.9999,1,27,27
11.34,0,0,285.8,99.9999,1,27,27
11.355,0,0,285.8,99.9999,1,27,27
11.37,0,0,285.8,99.9999,1,27,27
11.385,0,0,285.8,99.9999,1,27,27
11.4,0,0,285.8,99.9999,1,27,27
11.415,0,0,285.8,99.9999,1,27,27
